abandon -> abandons,abandoning,abandoned
baffle -> baffles,baffling,baffled
bag -> bags,bagging,bagged
bail -> bails,bailing,bailed
bait -> baits,baiting,baited
bake -> bakes,baking,baked
balance -> balances,balancing,balanced
bale -> bales,baling,baled
balk -> balks,balking,balked
ball -> balls,balling,balled
balloon -> balloons,ballooning,ballooned
ballot -> ballots,balloting,balloted
bamboozle -> bamboozles,bamboozling,bamboozled
ban -> bans,banning,banned
band -> bands,banding,banded
bandage -> bandages,bandaging,bandaged
bandy -> bandies,bandying,bandied
bang -> bangs,banging,banged
banish -> banishes,banishing,banished
bank -> banks,banking,banked
bankroll -> bankrolls,bankrolling,bankrolled
bankrupt -> bankrupts,bankrupting,bankrupted
banter -> banters,bantering,bantered
baptize -> baptizes,baptizing,baptized
bar -> bars,barring,barred
barbecue -> barbecues,barbecuing,barbecued
barber -> barbers,barbering,barbered
bare -> barer,barest,bares,baring,bared
bargain -> bargains,bargaining,bargained
barge -> barges,barging,barged
bark -> barks,barking,barked
barrack -> barracks,barracking,barracked
barricade -> barricades,barricading,barricaded
barter -> barters,bartering,bartered
base -> bases,basing,based,baser,basest
bash -> bashes,bashing,bashed
bask -> basks,basking,basked
baste -> bastes,basting,basted
bat -> bats,batting,batted
bath -> baths,bathing,bathed
bathe -> bathes,bathing,bathed
batten -> battens,battening,battened
batter -> batters,battering,battered
battle -> battles,battling,battled
bawl -> bawls,bawling,bawled
bay -> bays,baying,bayed
bayonet -> bayonets,bayoneting,bayoneted
be -> am,are,is,was,were,being,been,'m,m
beach -> beaches,beaching,beached
beam -> beams,beaming,beamed
bear -> bears,bearing,bore,borne
beat -> beats,beating,beaten
beatify -> beatifies,beatifying,beatified
beautify -> beautifies,beautifying,beautified
beckon -> beckons,beckoning,beckoned
become -> becomes,becoming,became
bed -> beds,bedding,bedded
bedeck -> bedecks,bedecking,bedecked
bedevil -> bedevils,bedevilling,bedevilled
beef -> beefs,beefing,beefed
beep -> beeps,beeping,beeped
beetle -> beetles,beetling,beetled
befall -> befalls,befalling,befell,befallen
befit -> befits,befitting,befitted
befriend -> befriends,befriending,befriended
befuddle -> befuddles,befuddling,befuddled
beg -> begs,begging,begged
beget -> begets,begetting,begot,begotten
beggar -> beggars,beggaring,beggared
begin -> begins,beginning,began,begun
begrudge -> begrudges,begrudging,begrudged
beguile -> beguiles,beguiling,beguiled
behave -> behaves,behaving,behaved
behead -> beheads,beheading,beheaded
behold -> beholds,beholding,beheld
behove -> behoves,behoving,behoved
belabour -> belabours,belabouring,belaboured
belch -> belches,belching,belched
belie -> belies,belying,belied
believe -> believes,believing,believed
belittle -> belittles,belittling,belittled
bellow -> bellows,bellowing,bellowed
belly -> bellies,bellying,bellied
bellyache -> bellyaches,bellyaching,bellyached
belong -> belongs,belonging,belonged
belt -> belts,belting,belted
bemoan -> bemoans,bemoaning,bemoaned
bend -> bends,bending,bent
benefit -> benefits,benefiting,benefited
bequeath -> bequeaths,bequeathing,bequeathed
berate -> berates,berating,berated
bereave -> bereaves,bereft,bereaved,bereaving
berth -> berths,berthing,berthed
beseech -> beseeches,beseeching,beseeched,besought
besiege -> besieges,besieging,besieged
besmirch -> besmirches,besmirching,besmirched
bespeak -> bespeaks,bespeaking,bespoke,bespoken
bestir -> bestirs,bestirring,bestirred
bestow -> bestows,bestowing,bestowed
bestrew -> bestrewed,bestrewn,bestrews,bestrewing
bestride -> bestrides,bestrode,bestrid,bestridden,bestriding
bet -> bets,betted,betting
betake -> betakes,betook,betaken,betaking
bethink -> bethinks,bethought,bethinking
betoken -> betokens,betokening,betokened
betray -> betrays,betraying,betrayed
better -> betters,bettering,bettered
bewail -> bewails,bewailing,bewailed
bewilder -> bewilders,bewildering,bewildered
bewitch -> bewitches,bewitching,bewitched
bias -> biases,biasing,biased
bicker -> bickers,bickering,bickered
bicycle -> bicycles,bicycling,bicycled
bide -> bides,bode,bided,biding
biff -> biffs,biffing,biffed
bill -> bills,billing,billed
billet -> billets,billeting,billeted
billow -> billows,billowing,billowed
bind -> binds,binding,bound
bisect -> bisects,bisecting,bisected
bitch -> bitches,bitching,bitched
bite -> bites,biting,bit,bitten
bivouac -> bivouacs,bivouacking,bivouacked
blab -> blabs,blabbing,blabbed
blabber -> blabbers,blabbering,blabbered
black -> blacker,blackest,blacks,blacking,blacked
blackball -> blackballs,blackballing,blackballed
blacken -> blackens,blackening,blackened
blacklist -> blacklists,blacklisting,blacklisted
blackmail -> blackmails,blackmailing,blackmailed
blame -> blames,blaming,blamed
blanch -> blanches,blanching,blanched
blank -> blanker,blankest,blanks
blanket -> blankets,blanketing,blanketed
blare -> blares,blaring,blared
blaspheme -> blasphemes,blaspheming,blasphemed
blast -> blasts,blasting,blasted
blaze -> blazes,blazing,blazed
blazon -> blazons,blazoning,blazoned
bleach -> bleaches,bleaching,bleached
bleat -> bleats,bleating,bleated
bleed -> bleeds,bleeding,bled
bleep -> bleeps,bleeping,bleeped
blemish -> blemishes,blemishing,blemished
blench -> blenches,blenching,blenched
blend -> blends,blent,blended,blending
bless -> blesses,blessing,blessed,blest
blether -> blethers,blethering,blethered
blight -> blights,blighting,blighted
blind -> blinds,blinding,blinded
blindfold -> blindfolds,blindfolding,blindfolded
blink -> blinks,blinking,blinked
blister -> blisters,blistering,blistered
blitz -> blitzes,blitzing,blitzed
block -> blocks,blocking,blocked
blockade -> blockades,blockading,blockaded
bloody -> bloodies,bloodying,bloodied,bloodier,bloodiest
bloom -> blooms,blooming,bloomed
blossom -> blossoms,blossoming,blossomed
blot -> blots,blotting,blotted
blow -> blows,blew,blown,blowed,blowing
blow-dry -> blow-dries,blow-drying,blow-dried
blubber -> blubbers,blubbering,blubbered
bludgeon -> bludgeons,bludgeoning,bludgeoned
blue -> bluer,bluest,blues,blueing,blued
bluff -> bluffs,bluffing,bluffed
blunder -> blunders,blundering,blundered
blunt -> blunter,bluntest,blunts,blunting,blunted
blur -> blurs,blurring,blurred
blurt -> blurts,blurting,blurted
blush -> blushes,blushing,blushed
bluster -> blusters,blustering,blustered
board -> boards,boarding,boarded
boast -> boasts,boasting,boasted
bob -> bobs,bobbing,bobbed
bode -> bodes,boding,boded
bodge -> bodges,bodging,bodged
boggle -> boggles,boggling,boggled
boil -> boils,boiling,boiled
bolster -> bolsters,bolstering,bolstered
bolt -> bolts,bolting,bolted
bomb -> bombs,bombing,bombed
bombard -> bombards,bombarding,bombarded
bond -> bonds,bonding,bonded
bone -> bones,boning,boned
boo -> boos,booing,booed
boob -> boobs,boobing,boobed
booby-trap -> booby-traps,booby-trapping,booby-trapped
boogie -> boogies,boogieing,boogied
boohoo -> boohoos,boohooing,boohooed
book -> books,booking,booked
boom -> booms,booming,boomed
boomerang -> boomerangs,boomeranging,boomeranged
boost -> boosts,boosting,boosted
boot -> boots,booting,booted
booze -> boozes,boozing,boozed
bop -> bops,bopping,bopped
border -> borders,bordering,bordered
bore -> bores,boring,bored
borrow -> borrows,borrowing,borrowed
boss -> bosses,bossing,bossed
botch -> botches,botching,botched
bother -> bothers,bothering,bothered
bottle -> bottles,bottling,bottled
bottle-feed -> bottle-feeds,bottle-feeding,bottle-fed
bottom -> bottoms,bottoming,bottomed
bounce -> bounces,bouncing,bounced
bound -> bounds,bounding,bounded
bow -> bows,bowing,bowed
bowl -> bowls,bowling,bowled
box -> boxes,boxing,boxed
boycott -> boycotts,boycotting,boycotted
brace -> braces,bracing,braced
bracket -> brackets,bracketing,bracketed
brag -> brags,bragging,bragged
braid -> braids,braiding,braided
brain -> brains,braining,brained
brainwash -> brainwashes,brainwashing,brainwashed
braise -> braises,braising,braised
brake -> brakes,braking,braked
branch -> branches,branching,branched
brand -> brands,branding,branded
brandish -> brandishes,brandishing,brandished
brave -> braver,bravest,braves,braving,braved
brawl -> brawls,brawling,brawled
bray -> brays,braying,brayed
brazen -> brazens,brazening,brazened
breach -> breaches,breaching,breached
break -> breaks,breaking,broke,broken
breakfast -> breakfasts,breakfasting,breakfasted
breast -> breasts,breasting,breasted
breast-feed -> breast-feeds,breast-feeding,breast-fed
breathalyze -> breathalyzes,breathalyzing,breathalyzed
breathe -> breathes,breathing,breathed
breed -> breeds,breeding,bred
breeze -> breezes,breezing,breezed
brew -> brews,brewing,brewed
bribe -> bribes,bribing,bribed
brick -> bricks,bricking,bricked
bridge -> bridges,bridging,bridged
bridle -> bridles,bridling,bridled
brief -> briefer,briefest,briefs,briefing,briefed
brighten -> brightens,brightening,brightened
brim -> brims,brimming,brimmed
bring -> brings,bringing,brought
bristle -> bristles,bristling,bristled
broach -> broaches,broaching,broached
broad -> broader,broadest,broads
broadcast -> broadcasts,broadcasting,broadcasted
broaden -> broadens,broadening,broadened
broil -> broils,broiling,broiled
brood -> broods,brooding,brooded
brook -> brooks,brooking,brooked
browbeat -> browbeats,browbeating,browbeaten
brown -> browner,brownest,browns,browning,browned
browse -> browses,browsing,browsed
bruise -> bruises,bruising,bruised
brush -> brushes,brushing,brushed
brutalize -> brutalizes,brutalizing,brutalized
bubble -> bubbles,bubbling,bubbled
buck -> bucks,bucking,bucked
bucket -> buckets,bucketing,bucketed
buckle -> buckles,buckling,buckled
bud -> buds,budding,budded
budge -> budges,budging,budged
budget -> budgets,budgeting,budgeted
buff -> buffs,buffing,buffed
buffer -> buffers,buffering,buffered
buffet -> buffets,buffeting,buffeted
bug -> bugs,bugging,bugged
bugger -> buggers,buggering,buggered
build -> builds,building,built
bulge -> bulges,bulging,bulged
bulk -> bulks,bulking,bulked
bulldoze -> bulldozes,bulldozing,bulldozed
bullshit -> bullshits,bullshitting,bullshitted
bully -> bullies,bullying,bullied
bum -> bums,bumming,bummed
bumble -> bumbles,bumbling,bumbled
bump -> bumps,bumping,bumped
bunch -> bunches,bunching,bunched
bundle -> bundles,bundling,bundled
bung -> bungs,bunging,bunged
bungle -> bungles,bungling,bungled
buoy -> buoys,buoying,buoyed
burble -> burbles,burbling,burbled
burden -> burdens,burdening,burdened
burgeon -> burgeons,burgeoning,burgeoned
burglarize -> burglarizes,burglarizing,burglarized
burgle -> burgles,burgling,burgled
burn -> burns,burning,burned,burnt
burnish -> burnishes,burnishing,burnished
burp -> burps,burping,burped
burr -> burrs,burring,burred
burrow -> burrows,burrowing,burrowed
bury -> buries,burying,buried
bus -> buses,busses,bussing,bussed
busk -> busks,busking,busked
bust -> busts,busting,busted
bustle -> bustles,bustling,bustled
busy -> busier,busiest,busies,busying,busied
butcher -> butchers,butchering,butchered
butt -> butts,butting,butted
butter -> butters,buttering,buttered
button -> buttons,buttoning,buttoned
buttonhole -> buttonholes,buttonholing,buttonholed
buttress -> buttresses,buttressing,buttressed
buy -> buys,buying,bought
buzz -> buzzes,buzzing,buzzed
bypass -> bypasses,bypassing,bypassed
cable -> cables,cabling,cabled
cackle -> cackles,cackling,cackled
caddie -> caddies,caddying,caddied
cadge -> cadges,cadging,cadged
cajole -> cajoles,cajoling,cajoled
cake -> cakes,caking,caked
calculate -> calculates,calculating,calculated
calibrate -> calibrates,calibrating,calibrated
call -> calls,calling,called
calm -> calmer,calmest,calms,calming,calmed
calve -> calves,calving,calved
camouflage -> camouflages,camouflaging,camouflaged
camp -> camps,camping,camped
campaign -> campaigns,campaigning,campaigned
canalize -> canalizes,canalizing,canalized
cancel -> cancels,cancelling,cancelled
cane -> canes,caning,caned
cannibalize -> cannibalizes,cannibalizing,cannibalized
cannon -> cannons,cannoning,cannoned
canonize -> canonizes,canonizing,canonized
canoodle -> canoodles,canoodling,canoodled
canter -> canters,cantering,cantered
canvass -> canvasses,canvassing,canvassed
cap -> caps,capping,capped
caper -> capers,capering,capered
capitalize -> capitalizes,capitalizing,capitalized
capitulate -> capitulates,capitulating,capitulated
capsize -> capsizes,capsizing,capsized
captain -> captains,captaining,captained
caption -> captions,captioning,captioned
captivate -> captivates,captivating,captivated
capture -> captures,capturing,captured
care -> cares,caring,cared
career -> careers,careering,careered
caress -> caresses,caressing,caressed
caricature -> caricatures,caricaturing,caricatured
carol -> carols,carolling,carolled
carouse -> carouses,carousing,caroused
carp -> carps,carping,carped
carpet -> carpets,carpeting,carpeted
carry -> carries,carrying,carried
cart -> carts,carting,carted
cartwheel -> cartwheels,cartwheeling,cartwheeled
carve -> carves,carving,carved
cascade -> cascades,cascading,cascaded
case -> cases,casing,cased
cash -> cashes,cashing,cashed
cashier -> cashiers,cashiering,cashiered
casserole -> casseroles,casseroling,casseroled
castigate -> castigates,castigating,castigated
castrate -> castrates,castrating,castrated
catalogue -> catalogues,cataloguing,catalogued
catapult -> catapults,catapulting,catapulted
catch -> catches,catching,caught
categorize -> categorizes,categorizing,categorized
cater -> caters,catering,catered
caterwaul -> caterwauls,caterwauling,caterwauled
catnap -> catnaps,catnapping,catnapped
cause -> causes,causing,caused
cauterize -> cauterizes,cauterizing,cauterized
caution -> cautions,cautioning,cautioned
cave -> caves,caving,caved
cavil -> cavils,cavilling,cavilled
cavort -> cavorts,cavorting,cavorted
caw -> caws,cawing,cawed
cease -> ceases,ceasing,ceased
cede -> cedes,ceding,ceded
celebrate -> celebrates,celebrating,celebrated
cement -> cements,cementing,cemented
censor -> censors,censoring,censored
censure -> censures,censuring,censured
centralize -> centralizes,centralizing,centralized
centre -> centres,centring,centred
certify -> certifies,certifying,certified
chafe -> chafes,chafing,chafed
chagrin -> chagrins,chagrining,chagrined
chain -> chains,chaining,chained
chain-smoke -> chain-smokes,chain-smoking,chain-smoked
chair -> chairs,chairing,chaired
chalk -> chalks,chalking,chalked
challenge -> challenges,challenging,challenged
champ -> champs,champing,champed
champion -> champions,championing,championed
chance -> chances,chancing,chanced
change -> changes,changing,changed
channel -> channels,channelling,channelled
chant -> chants,chanting,chanted
chaperone -> chaperones,chaperoning,chaperoned
char -> chars,charring,charred
characterize -> characterizes,characterizing,characterized
charge -> charges,charging,charged
charm -> charms,charming,charmed
chart -> charts,charting,charted
charter -> charters,chartering,chartered
chase -> chases,chasing,chased
chasten -> chastens,chastening,chastened
chastise -> chastises,chastising,chastised
chat -> chats,chatting,chatted
chatter -> chatters,chattering,chattered
chauffeur -> chauffeurs,chauffeuring,chauffeured
cheapen -> cheapens,cheapening,cheapened
cheat -> cheats,cheating,cheated
check -> checks,checking,checked
checkmate -> checkmates,checkmating,checkmated
cheek -> cheeks,cheeking,cheeked
cheer -> cheers,cheering,cheered
cherish -> cherishes,cherishing,cherished
chew -> chews,chewing,chewed
chicken -> chickens,chickening,chickened
chide -> chid,chides,chidded,chided,chiding
chill -> chills,chilling,chilled
chime -> chimes,chiming,chimed
chink -> chinks,chinking,chinked
chip -> chips,chipping,chipped
chirp -> chirps,chirping,chirped
chirrup -> chirrups,chirruping,chirruped
chisel -> chisels,chiselling,chiselled
chitter -> chitters,chittering,chittered
chivvy -> chivvies,chivvying,chivvied
chlorinate -> chlorinates,chlorinating,chlorinated
chloroform -> chloroforms,chloroforming,chloroformed
choice -> choices,choicer,choicest
choke -> chokes,choking,choked
chomp -> chomps,chomping,chomped
choose -> chooses,choosing,chose,chosen
chop -> chops,chopping,chopped
choreograph -> choreographs,choreographing,choreographed
chortle -> chortles,chortling,chortled
chorus -> choruses,chorusing,chorused
christen -> christens,christening,christened
chronicle -> chronicles,chronicling,chronicled
chuck -> chucks,chucking,chucked
chuckle -> chuckles,chuckling,chuckled
chug -> chugs,chugging,chugged
chum -> chums,chumming,chummed
churn -> churns,churning,churned
circle -> circles,circling,circled
circulate -> circulates,circulating,circulated
circumcise -> circumcises,circumcising,circumcised
circumscribe -> circumscribes,circumscribing,circumscribed
circumvent -> circumvents,circumventing,circumvented
cite -> cites,citing,cited
civilize -> civilizes,civilizing,civilized
clack -> clacks,clacking,clacked
claim -> claims,claiming,claimed
clam -> clams,clamming,clammed
clamber -> clambers,clambering,clambered
clamour -> clamours,clamouring,clamoured
clamp -> clamps,clamping,clamped
clang -> clangs,clanging,clanged
clank -> clanks,clanking,clanked
clap -> claps,clapping,clapped
clarify -> clarifies,clarifying,clarified
clash -> clashes,clashing,clashed
clasp -> clasps,clasping,clasped
class -> classes,classing,classed
classify -> classifies,classifying,classified
clatter -> clatters,clattering,clattered
claw -> claws,clawing,clawed
clean -> cleaner,cleanest,cleans,cleaning,cleaned
cleanse -> cleanses,cleansing,cleansed
clear -> clearer,clearest,clears,clearing,cleared
cleave -> clove,cleft,cleaved,cloven,cleaves,cleaving
clench -> clenches,clenching,clenched
click -> clicks,clicking,clicked
climax -> climaxes,climaxing,climaxed
climb -> climbs,climbing,climbed
clinch -> clinches,clinching,clinched
cling -> clings,clinging,clung
clink -> clinks,clinking,clinked
clip -> clips,clipping,clipped
cloak -> cloaks,cloaking,cloaked
clobber -> clobbers,clobbering,clobbered
clock -> clocks,clocking,clocked
clog -> clogs,clogging,clogged
cloister -> cloisters,cloistering,cloistered
clone -> clones,cloning,cloned
clonk -> clonks,clonking,clonked
clop -> clops,clopping,clopped
close -> closes,closing,closed,closer,closest
closet -> closets,closeting,closeted
clot -> clots,clotting,clotted
clothe -> clothes,clad,clothed,clothing
cloud -> clouds,clouding,clouded
clout -> clouts,clouting,clouted
clown -> clowns,clowning,clowned
club -> clubs,clubbing,clubbed
cluck -> clucks,clucking,clucked
clump -> clumps,clumping,clumped
cluster -> clusters,clustering,clustered
clutch -> clutches,clutching,clutched
clutter -> clutters,cluttering,cluttered
co-operate -> co-operates,co-operating,co-operated
co-opt -> co-opts,co-opting,co-opted
co-ordinate -> co-ordinates,co-ordinating,co-ordinated
co-star -> co-stars,co-starring,co-starred
coach -> coaches,coaching,coached
coagulate -> coagulates,coagulating,coagulated
coalesce -> coalesces,coalescing,coalesced
coarsen -> coarsens,coarsening,coarsened
coast -> coasts,coasting,coasted
coat -> coats,coating,coated
coax -> coaxes,coaxing,coaxed
cobble -> cobbles,cobbling,cobbled
cock -> cocks,cocking,cocked
cocoon -> cocoons,cocooning,cocooned
coddle -> coddles,coddling,coddled
code -> codes,coding,coded
codify -> codifies,codifying,codified
coerce -> coerces,coercing,coerced
coexist -> coexists,coexisting,coexisted
cogitate -> cogitates,cogitating,cogitated
cohabit -> cohabits,cohabiting,cohabited
cohere -> coheres,cohering,cohered
coil -> coils,coiling,coiled
coin -> coins,coining,coined
coincide -> coincides,coinciding,coincided
cold -> colder,coldest,colds
cold-shoulder -> cold-shoulders,cold-shouldering,cold-shouldered
collaborate -> collaborates,collaborating,collaborated
collapse -> collapses,collapsing,collapsed
collar -> collars,collaring,collared
collate -> collates,collating,collated
collect -> collects,collecting,collected
collectivize -> collectivizes,collectivizing,collectivized
collide -> collides,colliding,collided
collocate -> collocates,collocating,collocated
collude -> colludes,colluding,colluded
colonize -> colonizes,colonizing,colonized
colorcast -> colorcasts,colorcasted,colorcasting
colour -> colours,colouring,coloured
comb -> combs,combing,combed
combat -> combats,combating,combated
combine -> combines,combining,combined
come -> comes,coming,came
comfort -> comforts,comforting,comforted
command -> commands,commanding,commanded
commandeer -> commandeers,commandeering,commandeered
commemorate -> commemorates,commemorating,commemorated
commence -> commences,commencing,commenced
commend -> commends,commending,commended
comment -> comments,commenting,commented
